epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
87,6152.73,1.14974,0.28784,0.00171,0.92076,0.90711,0.93708,0.31225,3.13093,0.77043,0.00865,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
88,6223.13,1.13698,0.29215,0.0017,0.93871,0.88787,0.93732,0.31656,3.12282,0.76579,0.00862,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115
89,6293.74,1.14117,0.28924,0.0017,0.93416,0.89623,0.93816,0.31693,3.10886,0.76491,0.00857,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
90,6366.19,1.12217,0.28791,0.00167,0.92743,0.90628,0.93848,0.31917,3.11088,0.76686,0.00855,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264
91,6446.24,1.12644,0.28764,0.00166,0.93238,0.89958,0.93728,0.31867,3.11134,0.76713,0.00856,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
92,6518.18,1.1111,0.28439,0.00165,0.93657,0.88962,0.93861,0.32153,3.09764,0.76591,0.00851,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546
93,6588.84,1.11444,0.28393,0.00165,0.94021,0.89489,0.93955,0.3222,3.0976,0.7641,0.0085,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
94,6661.46,1.11488,0.28493,0.00166,0.93583,0.89456,0.94029,0.32064,3.10147,0.76448,0.00852,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212
95,6732.3,1.10294,0.28427,0.00164,0.94133,0.89038,0.94108,0.32015,3.10266,0.76768,0.00853,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
96,6802.24,1.10525,0.27934,0.00165,0.93661,0.89021,0.93921,0.31926,3.10536,0.7716,0.00853,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
97,6873.07,1.10191,0.27877,0.00164,0.94179,0.88012,0.93879,0.31793,3.11041,0.77244,0.00856,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032
98,6943.39,1.10373,0.28246,0.00162,0.94214,0.87866,0.93916,0.31808,3.10842,0.77246,0.00855,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968
99,7014.36,1.10086,0.28275,0.00164,0.91922,0.90293,0.93937,0.31815,3.10649,0.77324,0.00854,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768
100,7083.46,1.10209,0.27887,0.00163,0.9365,0.89289,0.93955,0.31956,3.1067,0.77218,0.00855,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443
